split,external_id,rating,final_sentiment,text_indobert,text_indobert_slang
train,9f20c87b-1f63-427e-a4f1-cc31df5002ef,5,Positive,asik banget,menyenangkan banget
train,669d14ee-7df0-4b45-8857-88d9e3db7551,4,Positive,Bgus,bagus
train,8ffa29bc-6faa-4df0-a125-09de6990d40e,4,Positive,apk nya baguss bangett,aplikasi nya bagus banget
train,b6ca7797-623b-4550-860a-64011ce4c9cf,1,Negative,apalah sekarang apa2 harus premium sampe mau putar lagu yg kita pilih aja harus premium ga masuk akal banget tolong lah masa pencet lagu yg mau kita putar harus premium juga tolong di pikir2 dlu,apalah sekarang apa saja harus premium sampai ingin memutar lagu yang kita pilih saja harus premium tidak masuk akal banget tolong lah masa klik lagu yang ingin kita putar harus premium juga tolong di pikir2 dulu
train,92180e8c-9e14-4b4a-ac0b-248f32f44372,3,Neutral,Make it payable via phone deposit,memakai it payable via phone deposit
train,3dd3cd4d-77a6-4aa6-a3b6-c556d407af26,2,Negative,Kenapa ya saya mau share musik di instastory gabisa? Padahal biasanya bisa kok cuma bisa share dm aja to gabisa di instastry,Kenapa ya saya ingin bagikan musik di instastory tidak bisa? Padahal biasanya bisa kok cuma bisa bagikan pesan langsung saja to tidak bisa di instastry
train,e784649d-7430-499b-b57a-3dec8f756f1b,4,Positive,"semua fitur spotify bagus,cuman banyak iklannya aja,baru denger satu lagu langsung dapet iklannya 4 atau 3.bisa kurangin dikit kah min iklannya jadi 2 atau 1","semua fitur spotify bagus,cuman banyak iklannya saja,baru mendengar satu lagu langsung mendapat iklannya 4 atau 3.bisa kurangin sedikit kah min iklannya jadi 2 atau 1"
train,7e4b67bf-74d2-4450-baac-d87196ca3d4e,4,Positive,bagus sih tapi waktu pilih musiknya sebentar banget kada cuma 2 lagu doang,bagus sih tetapi waktu pilih musiknya sebentar banget kada cuma 2 lagu saja
train,e91993a6-17fc-4773-862c-8efc33d46752,3,Neutral,saya coba dulu..,saya mencoba dulu..
train,dd483065-69a7-4ba5-b19c-c0ed959194fa,5,Positive,sangat baguss sekali bisa di bawa tidur music nyaa,sangat bagus sekali bisa di bawa tidur musik nyaa
train,cba8582a-440c-4702-8db4-40b6543ad61c,3,Positive,"Good,lagunya update terus, cuma kurang liriknya yg belum ada. Trus downloadnya juga gal bisa di save ke memory. Ditingkatkan lagi servicenya pasti tambah keren","bagus,lagunya terbaru terus-menerus, cuma kurang liriknya yang belum ada. terus downloadnya juga gal bisa di simpan ke memori. Ditingkatkan lagi servicenya pasti semakin keren"
train,b564eacc-06a3-4fb7-8175-730b2c2e1a3b,3,Neutral,sehabis di update ngga ada lirik,sehabis di terbaru tidak ada lirik
train,734f1bfa-3577-47d2-ab50-c72b165514e6,2,Negative,"Gua kira tuh laguya gabisa dishare di instastory karna hp gua, eh ternyata banyak juga keluhan yang sama, hadah spotipi spotipi ada ada aja","Gua kira itu laguya tidak bisa dishare di instastory karena ponsel gua, eh ternyata banyak juga keluhan yang sama, hadah spotipi spotipi ada ada saja"
train,f6a6a31b-e8e7-4047-abc0-d570981e2034,4,Positive,Sayangnya blm bisa offline,Sayangnya belum bisa offline
train,f7fff0a1-1f60-4f3d-90f1-49f064d83b97,4,Positive,Keren aku akan kasih bintang 5 kalo bisa offline,Keren saya akan memberi bintang lima kalau bisa offline
train,ab120a3e-395f-44e1-a4d5-d35e7f8092ef,3,Neutral,"ga bener nih, baru aja pembelian premium yg lagi diskon. Tapi ternyata tidak sesuai pemotongan nya. Harga promo 27500 .yg di potong 34k sekian...🥱😏","tidak benar ini, baru saja pembelian premium yang lagi diskon. tetapi ternyata tidak sesuai pemotongan nya. Harga promosi 27500 .yang di potong 34k sekian...🥱😏"
train,62cbff97-0d2c-4a65-8669-944e87d29822,2,Negative,harus premium untuk memgakses nya padahal cukup iklan saja niat nya saya mau kasih bintang 5 tapi gegara wajib premium saya kasih bintang 2 udah bagus itu saya juga ada niatan ganti ke apk esound musickarna geratis,harus premium untuk memgakses nya padahal cukup iklan saja berniat nya saya ingin memberi bintang lima tetapi gegara wajib premium saya memberi bintang 2 sudah bagus itu saya juga ada niatan ganti ke aplikasi esound musickarna geratis
train,e29be297-45ec-455c-86e1-980ea903964f,4,Positive,baik n mantab banget,baik n mantap banget
train,993cb838-14e9-44ca-95d5-dd8337b705c3,3,Neutral,Membuat mood saya kembali,Membuat suasana hati saya kembali
train,2af8230e-ed65-4651-91d5-b1805b7ba2aa,5,Positive,good luck,bagus luck
train,df741135-8ed6-4832-82ec-d30c21d5c166,3,Neutral,Bagus si tapi iklan nya mengganggu,Bagus si tetapi iklan nya mengganggu
train,192f714a-6a66-4134-b613-83473069d60d,3,Positive,kok ketika saya mau masuk spotify jaringannya lag ya padahal wifi lancar,kok ketika saya ingin masuk spotify jaringannya lag ya padahal wifi lancar
train,2a7bce5a-ac4a-4f48-9fbe-4df4f8ce910d,3,Neutral,kok banyak lagu yang ga ada liriknya ??,kok banyak lagu yang tidak ada liriknya ??
train,e74af7ac-0302-41f4-89fe-ae0cc8245d94,1,Negative,"aplikasinya bagus tapi tolong jangan sikit"" suruh orang Premiumkan milih lagu aja di suruh premium gak semua orang bisa Premiumkan","aplikasinya bagus tetapi tolong jangan sikit"" suruh orang Premiumkan milih lagu saja di suruh premium tidak semua orang bisa Premiumkan"
train,6740c39f-4a98-4558-83c7-78b76913f179,4,Positive,Iklan lu bnyk bet anyingg: Kurangjn dikit napaaa :v,Iklan kamu banyak setuju anyingg: Kurangjn sedikit napaaa :v
train,5c67caeb-0672-40b9-9634-71e764d92b8d,3,Neutral,"Gak ada teks lagunya,coba di adain bos","tidak ada teks lagunya,mencoba di adain bos"
train,70e0c8e4-922d-4d9b-8f05-719410c005ca,3,Neutral,habis di update lagunya kok gabisa diputer??,habis di terbaru lagunya kok tidak bisa diputar??
train,7e3a6d6f-a829-413c-ae0f-f0ca5be50f0c,3,Negative,Tlong dng iklan nya kurangin,Tlong dengan iklan nya kurangin
train,55423e27-32d0-4551-9af4-75a8fd1460f9,2,Negative,Spotify ini engga terlalu berguna saya sih lebih suka resso karna kalau pakek Spotify iklan nya engga bisa di skip kalau di ressso kita bisa nikmatin premium 30 menit hanya dengan menonton iklah yang 10 detik,Spotify ini tidak terlalu berguna saya sih lebih suka resso karena kalau pakek Spotify iklan nya tidak bisa di lewati kalau di ressso kita bisa nikmatin premium 30 menit hanya dengan menonton iklah yang 10 detik
train,5baf2b81-51a5-4294-9178-6b2e6523c098,3,Positive,Tiga dulu. Tr loj bagus gue tmbah,Tiga dulu. Tr loj bagus saya tmbah
validation,953d0872-4ca9-4114-a22b-35e4b965cb1c,3,Positive,aku suka musik,saya suka musik
validation,0721ea79-7359-473a-87a3-ca717b051f58,3,Positive,Masih tahap uji coba kalau bagus ☆nya di tambah 😆,Masih tahap uji mencoba kalau bagus ☆nya di semakin 😆
validation,8bb2afb0-75d9-49c6-a0bb-45033fbbcc38,3,Positive,Bagus tp iklannya kebanyakan,Bagus tapi iklannya kebanyakan
validation,1754392d-bce8-4bb0-a369-c3e1693e80f6,2,Negative,ga bisa post di ig story😭😭💔,tidak bisa unggahan di instagram cerita😭😭💔
validation,e609a68a-6571-468b-baaf-bcede30f5a5c,4,Positive,"4 bintang untuk disediakan pembayaran premium via pulsa dengan Telkomsel, saya tidak punya kartu SIM selain itu. 5 bintang untuk harga lebih murah lagi pindah ke premium, terimakasih.","4 bintang untuk disediakan pembayaran premium via pulsa dengan Telkomsel, saya tidak punya kartu SIM selain itu. bintang lima untuk harga lebih murah lagi pindah ke premium, terimakasih."
validation,9ca2d21b-d15d-4543-b7f8-306f9690074d,3,Neutral,Lumayan,cukup baik
validation,46f800d1-5184-4177-a2ef-ef198039b18b,4,Positive,Anjrot belum download udah bagus,Anjrot belum unduh sudah bagus
validation,35ac8d1d-84ec-4286-93ec-29f3245ec6b7,4,Positive,"iniii baguss!! bngt aplikasinya akuu suka cuman aku kasih bintang 4 aja karna ada yg ga aku suka yaitu iklannya,tp ini udh bgus ko!!","iniii bagus!! banget aplikasinya akuu suka cuman saya memberi bintang 4 saja karena ada yang tidak saya suka yaitu iklannya,tapi ini sudah bagus kok!!"
validation,c76a43f5-875e-422f-a7b9-1fc75f71b78e,1,Negative,"spotify anj### setiap gua pakai spotify dengan menggunakan fitur latar belakang dan aku mau gambar di ibispaint x belum brp detik lalu hilang lagu nya, kan jadi gak mood gambar ahh kalau gini mending uninstal aja ni apk","spotify anj### setiap gua pakai spotify dengan menggunakan fitur latar belakang dan saya ingin gambar di ibispaint x belum brp detik lalu hilang lagu nya, kan jadi tidak suasana hati gambar ahh kalau gini lebih baik uninstal saja ni aplikasi"
validation,effc2889-c137-4036-acfa-152b1dfb1a99,3,Neutral,"koplo nya kok sedikit?? OM New Pallapa dong, biar bisa di goyang Cak Met :) :) :)","koplo nya kok sedikit?? bapak New Pallapa dong, biar bisa di goyang Cak Met :) :) :)"
validation,2497aa7a-f878-42d7-90ac-e35b8b0fd43e,3,Neutral,Bagus semua lagunya tapi gue kesel iklan trus anying!!!,Bagus semua lagunya tetapi saya kesal iklan terus anying!!!
validation,b025de2c-4bde-4213-85f1-93f3308c877b,4,Positive,"enak si buat dengerin lagu, tapi iklan 2-3 lagu iklan nya 3-4,🤗","enak si buat mendengarkan lagu, tetapi iklan 2-3 lagu iklan nya 3-4,🤗"
validation,dbfa8c86-f293-4f3b-a4fa-2e4a2fef90d2,4,Positive,masa skrg bbrp lagu liriknya gaada,masa sekarang beberapa lagu liriknya tidak ada
validation,568bfa62-ffe6-4fb2-bf63-2ed8fba807fa,4,Positive,"bolehlah , tapi bagusan Resso.","bolehlah , tetapi bagusan Resso."
validation,0bbd225a-8a62-469c-a997-43f1ef765be9,5,Positive,mantab.. banyakin lg offline nya😁,mantap.. banyakin lagi offline nya😁
validation,efb35b12-8fe8-44f3-aa99-8c03b655b62d,2,Negative,Ngga gratis lagi dan harus premium trus,tidak gratis lagi dan harus premium terus
validation,9e2c7766-2ab4-4161-aa1b-5b79bd4801e3,3,Neutral,"Dont know yet, try first","jangan know yet, coba first"
validation,00934cbe-b82d-46dd-9c0e-5270d88da95f,5,Positive,bgus,bagus
validation,44474aca-f5b9-40da-8631-d416d916f60b,5,Positive,"gud, tapi iklannya kurangin👉👈","bagus, tetapi iklannya kurangin👉👈"
validation,168715a3-20b2-4964-a59b-eb4be6fe2717,5,Positive,seru banget,menyenangkan banget
validation,d3803007-6d7c-4d3e-9a9c-dcc6962d6a75,1,Negative,masa ganti lagu aja harus premium kebelet haji luh,masa ganti lagu saja harus premium kebelet haji luh
validation,8dbc63d7-474d-481b-8683-a1ea8c21d54d,1,Negative,"makin banyak iklan klen buat ya, suka"" Kelen aja, semalam tu 3, sekarang udh lebih dari 3, cem betol kali klen kutengok. dasar developer kikir","semakin banyak iklan klen buat ya, suka"" Kelen saja, semalam tu 3, sekarang sudah lebih dari 3, cem betol kali klen kutengok. dasar developer kikir"
validation,314895dd-e2b8-4167-a03b-b108619e95fc,4,Positive,"Udh bagus bngt sih, tadi nya mau beli yang premi pake dana, cuma hrs DRI play store, itu pun kena pajak dan cmn 3 BLN. Tolong lah Spotify tambahin Dana dri Spotify nya langsung biar ga dari Play store nya.","sudah bagus banget sih, tadi nya ingin membeli yang premi memakai dana, cuma harus dari google play store, itu pun kena pajak dan cmn 3 bulan. Tolong lah Spotify tambahin Dana dari Spotify nya langsung biar tidak dari google play store nya."
validation,fbb5b0ac-76d5-4698-a6b5-b2d245f711ad,3,Neutral,Not available in my country what a b😠,Not tersedia in my negara what a b😠
validation,0f184f2d-9866-46e8-88dd-91a31e948a8e,3,Neutral,Knapa gk onok liriknya...,kenapa tidak onok liriknya...
validation,9ecfdec7-8552-41e6-8700-e19d3e6f7fc5,3,Positive,Bagus di aplikasi ny tapi setelah update gk bisa ngulang lagu,Bagus di aplikasi ny tetapi setelah terbaru tidak bisa ngulang lagu
validation,0af235e2-4376-46da-952a-5c5b314ec3ee,3,Neutral,Sya kasi bintamg 3 dulu soalnya masi sya pantau,Sya kasi bintamg 3 dulu karena masih sya pantau
validation,39b340bb-a54f-4c9a-b70d-dfd91a2b5b50,5,Positive,sangat seru dengerin musik pakai sportify,sangat menyenangkan mendengar musik pakai sportify
validation,6230846c-6fd5-42e4-836a-44e5cfa5efca,3,Neutral,"aplikasinya benerin dong masa setiap saya udah login terus misalnya gaa denger musik 2-3 hari pas saya mau buka lagi, lagunya ngga ada, playlist kosong semua, log out coba lagi sama aja, masa setiap saya gitu harus uninstall ulang, saya pakai aplikasi official loh, tolong lah","aplikasinya benerin dong masa setiap saya sudah login terus-menerus misalnya tidak mendengar musik 2-3 hari pas saya ingin buka lagi, lagunya tidak ada, playlist kosong semua, keluar mencoba lagi sama saja, masa setiap saya gitu harus hapus ulang, saya pakai aplikasi official lho, tolong lah"
validation,588e7ab1-c61b-400b-9052-05c70974e785,3,Positive,bagus sihh,bagus sih
test,e5349c43-68b2-45fb-a396-3d09229d97e6,3,Neutral,Baru kasih nilai 3 soalnya aku baru download,Baru memberi nilai 3 karena saya baru unduh
test,eb77a42b-c904-4bed-b8bf-71083b5893ec,3,Neutral,Ok,oke
test,7a4b17fb-cdb8-4306-8cf0-ebcfbc149c9b,4,Positive,banyak iklan tapi suka banget,banyak iklan tetapi suka banget
test,2d86d77f-b6ee-4aee-8c31-1858b9f13677,4,Positive,"Aku gk bisa kasih 5 bintang karena,sering bngt spotify maksain untuk permium,jadi itu aja,mksh( *・ω・)ノ","saya tidak bisa memberi bintang lima karena,sering banget spotify maksain untuk permium,jadi itu saja,terima kasih( *・ω・)ノ"
test,e9a9d8c7-403b-4c07-8bbb-fc09ed8fa2ec,3,Positive,"saya kasih 3 bintang Karena beberapa alasan, aplikasi mudah dari segi tampilan, knpa harus putar acak, lalu yg lebih parahnya lagi gk ada liriknya sih gk kaya sebelah😂 udh gtu aja, pokoknya tingkatkan lagi!!! klo bsa update untuk bsa ada liriknya 🙏","saya memberi 3 bintang Karena beberapa alasan, aplikasi mudah dari segi tampilan, knpa harus putar acak, lalu yang lebih parahnya lagi tidak ada liriknya sih tidak kaya sebelah😂 sudah gtu saja, pokoknya tingkatkan lagi!!! kalau bisa terbaru untuk bisa ada liriknya 🙏"
test,b037e710-a674-4be1-a453-54b3ee274e02,4,Positive,suara musik bagus tapi boleh jadi gak ada iklannya,suara musik bagus tetapi boleh jadi tidak ada iklannya
test,81e386b9-d2b3-42ac-91bc-7271ff4c37e1,2,Negative,Lagu tidak bisa di skip,Lagu tidak bisa di lewati
test,345c041d-68c2-4e0a-93f6-90d4893581ea,5,Positive,mantappp,mantap
test,3e23b123-2700-47c6-9325-65dbc910195f,5,Positive,Fans NDX A.K.A Paling Setiaa Nih Gw :P,Fans NDX A.K.A Paling Setiaa ini saya :P
test,d4c70bcb-8f1b-4a6e-9f1d-355c0abde959,1,Negative,Eh laso. Kak Gery bilang harusnya ko taro kasih tunjuk itu lirik pas dipencet lagu na tlso. Mana kak Gery tau KLO harus di scroll itu ke bawah liriknya,Eh laso. Kak Gery berkata seharusnya kok taro memberi tunjuk itu lirik pas dipencet lagu na tlso. dimana kak Gery tau kalau harus di menggulir itu ke bawah liriknya
test,f2a082f7-c325-4d3a-9e91-d59455254f84,3,Neutral,Kalo udah ada lirik nya aku tambahin,kalau sudah ada lirik nya saya tambahin
test,b44be1d3-345e-450e-8ae1-3027d7d4bc29,5,Positive,"bagus banget, harus download sih","bagus banget, harus unduh sih"
test,bf277fbd-eeec-4129-9712-397b9fcb4149,1,Negative,iklan ga ngotak,iklan tidak ngotak
test,dd44088a-48cc-4f09-9d12-e2f3905103d3,5,Positive,ok,oke
test,fe555e46-a934-41a7-b3cb-ca6d7fb8c369,3,Negative,Makin lma makin banyak jir iklan nya 🙄,semakin lma semakin banyak jir iklan nya 🙄
test,f99d4209-592a-4a14-8831-67dae6408517,4,Positive,"oke, dgn terbaik didunia","oke, dengan terbaik didunia"
test,8a5d6e2f-967a-4ae5-b0f9-a09f60daf191,3,Neutral,sekali ganti lagu pasti iklan ny lama banyakkk lgi minimal yh 1 atau yh di gk ada in ke ini mh 3 sampe 4 mh. iy kalo abis iklan banyak ya udh lancar lah sampee 5 atau 6 ke ini mh iklan 4 lagu ny 2 sampe 3 dnggg idihh. satu lagu kenapa lagu where we are kgk ada siballl,sekali ganti lagu pasti iklan ny lama banyakkk lagi minimal yh 1 atau yh di tidak ada in ke ini mh 3 sampai 4 mh. iy kalau habis iklan banyak ya sudah lancar lah sampee 5 atau 6 ke ini mh iklan 4 lagu ny 2 sampai 3 dnggg idihh. satu lagu kenapa lagu where we are tidak ada siballl
test,bc718e5e-0f19-4188-922d-16bb45621a03,3,Positive,Aplikasi bagus haha !!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!$$@@!!!!!!!!,Aplikasi bagus tertawa !!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!$$@@!!!!!!!!
test,cb725df0-c231-4a23-a259-0bbd39148e00,2,Negative,bug terus,bug terus-menerus
test,3431fa43-7572-4efe-826e-0ffaeabfcf12,3,Negative,kebanyakan iklan baru putar 1 lagu selesai terus iklan setiap selesai putar lagu pasti iklan tolong kurangi iklannya bintang 3 dulu,kebanyakan iklan baru putar 1 lagu selesai terus-menerus iklan setiap selesai memutar lagu pasti iklan tolong kurangi iklannya bintang 3 dulu
test,1724c7c1-9bca-4ff3-892a-ef54b75ba12a,5,Positive,always favorite,selalu favorite
test,add524a1-bbd0-493a-8796-06dc5ac811d2,1,Negative,"kok sering ngebug dah, gw nyetel musik gbs bs setiap nyetel lagunya malah ilang","kok sering ngebug sudah, saya nyetel musik gbs bisa setiap nyetel lagunya malahan ilang"
test,621cfaa0-d70a-4528-9f0c-a06dbd0a6b80,1,Negative,mending jangan download ini deh kesel enggak bisa download mana pake entah apalah gak jelas mending jangan nonton ini habisin Kouta aja sama dikit dikit premium katanya gratis mana apa yang gratis!!!Ini aplikasi penipu!!! dengerin lagi cuman bisa 6 kali ahhhh dasar jangan download ya guys,lebih baik jangan unduh ini sudah kesal tidak bisa unduh dimana memakai entah apalah tidak jelas lebih baik jangan nonton ini habisin Kouta saja sama sedikit sedikit premium katanya gratis dimana apa yang gratis!!!Ini aplikasi penipu!!! mendengar lagi cuman bisa 6 kali ahhhh dasar jangan unduh ya guys
test,8e98e7ac-4e85-44af-ba14-0cb57e70af05,5,Positive,"pokoknya the beast banget dehh buat ini aplikasi, gue disini bisa belajar juga bahasa inggris dan oh yaa buat update an nya gua juga suka banget, karena yang tadinya lagu gaada lirik nya sekarang jadi ada, kalo update lebih tingkatin lagi yaa minn aplikasi nya gaada yang kurang koo 🫰🏼🫰🏼, rekomendasii banget buat kaliann inii 😭🤍🤍","pokoknya the beast banget dehh buat ini aplikasi, saya disini bisa belajar juga bahasa inggris dan oh ya buat terbaru an nya gua juga suka banget, karena yang tadinya lagu tidak ada lirik nya sekarang jadi ada, kalau terbaru lebih tingkatin lagi ya minn aplikasi nya tidak ada yang kurang koo 🫰🏼🫰🏼, rekomendasii banget buat kaliann inii 😭🤍🤍"
test,086fe9d9-1f1d-46cf-9407-0b4dc7e735b2,3,Positive,data saya nyala dan lancar tetapi spotify saya selalu tidak ada koneksi internet,data saya menyala dan lancar tetapi spotify saya selalu tidak ada koneksi internet
test,8f4c7ed7-10a7-41c8-922e-0bf87d5ff70d,1,Negative,"kikir aman iklan banyak, putar musik ternama harus upgrade ke premium👎🏿","kikir aman iklan banyak, putar musik ternama harus tingkatkan ke premium👎🏿"
test,38065b3e-b7a2-4348-a5dc-2d0100af5677,4,Positive,"Spoty sangat bagus, tapi klu bisa ada spoty premium yang gratis ,,, karna spoty sangat menghibur,,,","spotify sangat bagus, tetapi kalau bisa ada spotify premium yang gratis ,,, karena spotify sangat menghibur,,,"
test,074c2cc3-cc75-4f68-bcbb-9bf0cc64b776,4,Positive,"suka bangett, but.... kurangin iklan nya","suka banget, but.... kurangin iklan nya"
test,a1305928-c165-468e-ac8e-7c76bf2c5627,1,Negative,"Untuk iklan boleh lah tapi ini aplikasi nge wajibin premium bangke GK bisa pilih lagu sesuka hati dibatesin bangke kikir amat, mending YT premium AE bisa nonton, denger dilayar mati atau home screen + GK ada iklan ni aplikasi kikir parah","Untuk iklan boleh lah tetapi ini aplikasi nge wajibin premium buruk tidak bisa pilih lagu sesuka hati dibatesin buruk kikir sangat, lebih baik youtube premium AE bisa nonton, mendengar dilayar mati atau beranda layar + tidak ada iklan ni aplikasi kikir parah"
test,f98c8e22-fac9-4b1b-ba5d-6fe2d5a41365,2,Negative,"ini kenapa ya tiap kali buka beberapa lagu liriknya gak bisa diliat, padahal dulu waktu pake Spotify selalu bisa liat liriknya","ini kenapa ya setiap kali buka beberapa lagu liriknya tidak bisa diliat, padahal dulu waktu memakai Spotify selalu bisa melihat liriknya"
